parcel_id,zone_code
"29 3711-75-44","RR-65"
"29 3711-75-46","RR-65"
"29 3711-75-47-1","RR-65"
"29 3711-75-48-1","RR-65"
"29 3711-75-49-1","RR-65"
"29 3711-75-50-1","RR-65"
"29 3711-75-39","RR-65"
"29 3711-75-37-1","RR-65"
"29 3711-75-36-1","RR-65"
"29 3711-75-35-1","RR-65"
"29 3711-75-34-1","RR-65"
"29 3711-75-33-1","RR-65"
"29 3711-75-31-1","RR-65"
"29 3711-75-21","RR-65"
"29 3711-75-24","RR-65"
"29 3711-75-28-1","RR-65"
"29 3711-75-29","RR-65"
"29 3711-75-30","RR-65"
"29 3711-75-20","RR-65"
"29 3711-75-17-1","RR-65"
"29 3711-75-16-1","RR-65"
"29 3711-75-15-1","RR-65"
"29 3711-75-14-1","RR-65"
"29 3711-75-13-1","RR-65"
"29 3711-75-11-1","RR-65"
"29 3711-75-5-1","RR-65"
"29 3711-75-6-1","RR-65"
"29 3711-75-7","RR-65"
"29 3711-75-9-1","RR-65"
"29 3711-75-10","RR-65"
"29 3711-75-3-1","RR-65"
"29 3711-75-18-3","RR-65"
"29 3702-00-R","INS"
"28 3736-25-*-16","RS-21"
"28 3736-25-*-8","RS-21"
"29 3702-00-531","RR-65"
"29 3702-00-591","RR-65"
"29 3702-00-592","RR-65"
"29 3703-00-38","RR-65"
"28 3736-00-761.1","CG"
"29 3701-00-255.1","INS"
"29 3712-00-593","RR-65"
"29 3701-50-*-2.01","RR-65"
"29 3702-00-R.1","INS"
"29 3702-00-272","RR-65"
"29 3806-00-751","RS-21"
"29 3807-00-761","RR-65"
"29 3807-00-501","RR-65"
"29 3702-00-512","RR-65"
"29 3711-00-54","RR-65"
"29 3711-00-42","RR-65"
"28 3735-00-14.1","INS"
"28 3736-00-1","INS"
"28 3736-00-2","INS"
"28 3736-00-509","INS"
"28 3831-00-250.3","CG"
"28 3735-00-1","INS"
"28 3735-00-4","INS"
"29 3701-00-548","RR-65"
"29 3702-00-769","RR-65"
"29 3701-00-504.1","RR-65"
"29 3702-00-768","RR-65"
"29 3703-00-506","RR-65"
"29 3702-00-798","RR-65"
"29 3701-00-568","RR-65"
"29 3701-00-529","RR-65"
"29 3701-00-577","RR-65"
"29 3701-00-566","RR-65"
"29 3701-00-569","RR-65"
"29 3702-00-514","RR-65"
"29 3702-00-788","RR-65"
"29 3702-00-804","RR-65"
"29 3702-00-789","RR-65"
"29 3702-00-812","RR-65"
"29 3702-00-766","RR-65"
"29 3702-00-826","RR-65"
"29 3702-00-517","RR-65"
"29 3701-00-501","RR-65"
"29 3702-00-761","RR-65"
"29 3703-00-507","RR-65"
"29 3806-UU-R.1","RR-65"
"29 3806-UU-D.4","RR-65"
"29 3806-UU-R.2","RR-65"
"29 3806-UU-*-38","RR-65"
"29 3806-UU-*-19","RR-65"
"29 3806-UU-*-39","RR-65"
"29 3806-UU-P.3","RR-65"
"29 3806-UU-*-25","RR-65"
"29 3806-UU-*-37","RR-65"
"29 3806-UU-*-40","RR-65"
"29 3806-UU-*-41","RR-65"
"29 3806-UU-RW.1","RR-65"
"29 3701-00-36","RR-65"
"29 3806-02-A-1","R/LC"
"29 3701-00-50","RR-65"
"29 3702-00-20","R/LC"
"29 3806-02-B-6","RM-6"
"29 3702-00-69","R/LC"
"29 3806-00-1","CP"
"29 3701-00-286","R/LC"
"29 3806-UU-*-3","RR-65"
"29 3806-UU-*-18","RR-65"
"29 3806-UU-*-14","RR-65"
"29 3806-UU-*-13","RR-65"
"29 3806-UU-*-12","RR-65"
"29 3806-02-B-2","RM-6"
"29 3806-01-2-1","RM-6"
"29 3806-UU-*-11","RR-65"
"29 3806-UU-*-10","RR-65"
"29 3806-UU-*-9","RR-65"
"29 3806-UU-*-8","RR-65"
"29 3806-UU-*-7","RR-65"
"29 3806-UU-*-6","RR-65"
"29 3806-UU-*-5","RR-65"
"29 3806-UU-*-4","RR-65"
"29 3701-00-1","RR-65"
"29 3701-00-8","RR-65"
"29 3701-00-7","RR-65"
"29 3701-00-51","RR-65"
"29 3701-00-66","RR-65"
"29 3701-00-53","CG"
"29 3806-UU-C","RR-65"
"29 3701-00-250","RR-65"
"29 3702-00-38","R/LC"
"29 3703-01-*-1","OI"
"29 3703-01-*-1.01","OI"
"28 3736-00-515","CG"
"28 3831-75-*-5","RM-6"
"28 3831-75-*-18","RM-6"
"28 3831-75-*-16","RM-6"
"28 3736-50-A-35","R/LC"
"28 3736-51-2-39","RS-15"
"28 3736-51-1-41","RS-15"
"28 3735-75-*-10","RR-65"
"28 3831-54-B-1.01","R/LC"
"28 3736-50-B-17","RS-15"
"28 3735-75-*-61","RR-65"
"28 3736-51-2-43","RS-15"
"28 3736-51-2-37","RS-15"
"28 3736-51-1-38","RS-15"
"28 3831-76-*-16","R-MH"
"28 3735-75-*-9","RR-65"
"28 3735-00-506","OI"
"28 3735-00-505","RR-65"
"28 3735-00-503","OI"
"28 3734-00-758","R-MH"
"28 3734-00-756","OI"
"28 3831-76-*-10","R-MH"
"28 3735-75-*-8","RR-65"
"28 3735-75-*-38","RR-65"
"28 3735-75-*-7","RR-65"
"28 3831-54-3-1","R/LC"
"28 3831-54-B-7.01","CG"
"28 3831-54-3-3","R/LC"
"28 3831-54-B-9","CG"
"28 3736-00-512","RR-65"
"28 3736-00-513","RR-65"
"28 3831-54-C-26","CG"
"28 3831-51-A-3","CG"
"28 3831-51-A-2","CG"
"28 3736-00-507","RR-65"
"28 3735-75-*-5","RR-65"
"28 3831-54-3-9","RS-10"
"28 3831-54-C-17","R/LC"
"28 3831-54-C-25","CG"
"28 3831-50-A-8.04","R/LC"
"28 3735-75-*-4","RR-65"
"28 3831-54-C-22","CG"
"28 3831-50-A-8.05","RS-10"
"28 3831-54-1-10","RS-10"
"28 3831-50-A-8.06","RS-10"
"28 3831-54-D-2","CG"
"28 3735-75-*-3","RR-65"
"28 3735-75-*-2","RR-65"
"28 3736-00-508","RR-65"
"28 3735-75-*-1","RR-65"
"28 3736-00-258","RR-65"
"28 3831-26-2-5","CG"
"28 3735-00-17","RR-65"
"28 3736-00-257","RR-65"
"28 3735-25-*-89","RS-10"
"28 3735-25-*-90","RS-10"
"28 3735-25-*-88","RS-10"
"28 3735-25-*-87","RS-10"
"28 3735-25-*-91","RS-10"
"28 3735-25-3.1","RS-10"
"28 3736-25-*-27","RS-21"
"28 3735-01-*-2","RR-65"
"28 3735-25-*-85","RS-10"
"28 3735-25-*-98","RS-10"
"28 3735-25-*-92","RS-10"
"28 3735-25-*-93","RS-10"
"28 3735-25-*-94","RS-10"
"28 3735-25-*-95","RS-10"
"28 3735-25-*-96","RS-10"
"28 3735-25-*-97","RS-10"
"28 3736-25-C","RS-21"
"28 3735-00-12","INS"
"28 3735-25-*-99","RS-10"
"28 3735-25-3","RS-10"
"28 3735-25-*-84","RS-10"
"28 3736-25-*-28","RS-21"
"28 3735-25-*-100","RS-10"
"28 3735-25-*-83","RS-10"
"28 3735-25-*-82","RS-10"
"28 3735-25-*-81","RS-10"
"28 3735-25-*-80","RS-10"
"28 3735-25-*-79","RS-10"
"28 3735-25-*-78","RS-10"
"28 3735-25-*-77","RS-10"
"28 3735-25-*-76","RS-10"
"28 3736-25-*-33","RS-21"
"28 3735-25-*-105","RS-10"
"28 3736-25-*-35","RS-21"
"28 3735-25-*-103","RS-10"
"28 3735-25-*-102","RS-10"
"28 3735-25-*-71","RS-10"
"28 3735-25-*-72","RS-10"
"28 3735-25-*-73","RS-10"
"28 3735-25-*-74","RS-10"
"28 3735-25-*-75","RS-10"
"28 3735-25-*-101","RS-10"
"28 3735-25-*-70","RS-10"
"28 3735-25-*-106","RS-10"
"28 3735-25-*-69","RS-10"
"28 3735-00-10","RR-65"
"28 3735-25-*-68","RS-10"
"28 3735-25-*-107","RS-10"
"28 3735-25-*-108","RS-10"
"28 3735-25-*-126","RS-10"
"28 3735-25-*-109","RS-10"
"28 3735-25-*-127","RS-10"
"28 3735-25-*-128","RS-10"
"28 3735-25-*-129","RS-10"
"28 3735-25-*-130","RS-10"
"28 3735-25-*-110","RS-10"
"28 3735-00-9","RR-65"
"28 3735-25-*-67","RS-10"
"28 3735-25-*-114","RS-10"
"28 3735-25-*-66","RS-10"
"28 3735-25-*-113","RS-10"
"28 3735-25-*-125","RS-10"
"28 3735-25-*-124","RS-10"
"28 3735-25-*-112","RS-10"
"28 3735-25-*-123","RS-10"
"28 3735-25-*-122","RS-10"
"28 3735-25-*-121","RS-10"
"28 3735-25-*-111","RS-10"
"28 3735-25-*-115","RS-10"
"28 3735-00-14","RR-65"
"28 3735-00-13","RR-65"
"28 3735-00-8","RR-65"
"28 3735-00-6","INS"
"28 3735-25-*-116","RS-10"
"28 3735-25-*-65","RS-10"
"28 3735-25-*-64","RS-10"
"28 3735-25-*-63","RS-10"
"28 3735-25-*-119","RS-10"
"28 3735-25-*-62","RS-10"
"28 3735-25-*-56","RS-10"
"28 3735-25-*-118","RS-10"
"28 3735-25-*-117","RS-10"
"28 3831-00-270","RR-65"
"28 3735-25-*-61","RS-10"
"28 3735-25-*-55","RS-10"
"28 3735-25-*-54","RS-10"
"28 3735-25-*-53","RS-10"
"28 3735-25-*-60","RS-10"
"28 3735-25-*-52","RS-10"
"28 3735-25-*-59","RS-10"
"28 3735-25-*-58","RS-10"
"28 3735-25-*-57","RS-10"
"28 3735-25-*-51","RS-10"
"28 3735-25-1","RS-10"
"28 3735-25-*-36","RS-10"
"28 3735-25-*-34","RS-10"
"28 3735-25-*-35","RS-10"
"28 3735-25-*-37","RS-10"
"28 3735-25-*-38","RS-10"
"28 3735-25-*-1","RS-10"
"28 3735-25-*-33","RS-10"
"28 3735-25-*-2","RS-10"
"28 3735-25-*-28","RS-10"
"28 3735-25-*-3","RS-10"
"28 3735-25-*-29","RS-10"
"28 3735-25-*-30","RS-10"
"28 3735-25-*-32","RS-10"
"28 3735-25-*-31","RS-10"
"28 3735-25-*-4","RS-10"
"28 3735-25-*-27","RS-10"
"28 3735-25-*-26","RS-10"
"28 3735-25-*-25","RS-10"
"28 3735-25-*-24","RS-10"
"28 3735-25-*-23","RS-10"
"28 3735-25-*-22","RS-10"
"28 3735-25-*-5","RS-10"
"28 3735-25-*-21","RS-10"
"28 3735-25-*-20","RS-10"
"28 3735-25-*-6","RS-10"
"28 3735-25-*-50","RS-10"
"28 3735-25-*-49","RS-10"
"28 3735-25-*-48","RS-10"
"28 3735-25-*-47","RS-10"
"28 3735-25-*-46","RS-10"
"28 3735-25-*-45","RS-10"
"28 3735-25-*-19","RS-10"
"28 3735-25-*-7","RS-10"
"29 3807-00-757","RR-65"
"29 3807-00-756","RR-65"
"29 3712-00-509","RR-65"
"29 3712-00-766","RR-65"
"29 3712-00-768","RR-65"
"29 3712-00-769","RR-65"
"29 3712-00-770","RR-65"
"29 3712-00-771","RR-65"
"29 3712-00-543","RR-65"
"29 3711-00-538","RR-65"
"29 3711-00-525","RR-65"
"29 3711-00-526","RR-65"
"29 3711-00-562","RR-65"
"29 3807-00-758","RR-65"
"29 3712-00-764","RR-65"
"29 3712-00-776","RR-65"
"29 3712-00-803","RR-65"
"29 3712-00-774","RR-65"
"29 3712-00-790","RR-65"
"29 3712-00-512","RR-65"
"29 3710-00-784","RR-65"
"29 3710-00-774","RR-65"
"29 3710-00-775","RR-65"
"29 3710-00-769","RR-65"
"29 3710-00-770","RR-65"
"29 3710-00-777","RR-65"
"29 3712-00-522","RR-65"
"29 3711-00-539","RR-65"
"29 3711-00-535","RR-65"
"29 3710-00-564","R/LC"
"29 3710-00-565","R/LC"
"29 3710-00-574","R/LC"
"29 3711-00-559","RR-65"
"29 3710-00-505","R/LC"
"29 3711-00-572","RR-65"
"29 3710-00-522","R/LC"
"29 3710-00-568","OI"
